constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5, 10], [9.0, 1.0, 300], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  3  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 3 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  6  7  8  9  
BanditTestBatch: numCases: 4
BanditTestBatch: maxim sum reward: 2149.0
BanditTestBatch: random reward: 1365.5
 Evals       Score          p01       p02       p03       case01    case02    case03    case04 
   133       83.33     2.215859  0.721352  91.130937        56.34     94.87     99.99     82.10 
   134       76.13     2.858077  0.671979  131.380343        56.34     90.73     75.49     81.96 
   135       83.18     2.771537  0.731615  87.871442        56.34     94.29    100.00     82.10 
   136       76.50     3.911488  0.717407  96.721559        56.34     92.04     75.50     82.10 
   137       76.71     3.381622  0.677520  82.343955        56.34     92.91     75.49     82.10 
   138       75.90     3.863812  0.775544  132.979490        56.34     89.64     75.50     82.10 
   139       77.35     2.290962  0.760707  133.927528        58.72     93.05     75.49     82.11 
   140       75.95     3.828891  0.792136  112.101293        56.34     89.85     75.50     82.09 
   141       82.25     3.440345  0.781405  127.821120        56.34     90.58     99.99     82.08 
   142       77.00     2.370948  0.762386  122.838846        57.71     92.84     75.49     81.96 
   143       76.54     2.746946  0.794489  151.797787        56.34     92.25     75.50     82.07 
   144       75.87     3.638364  0.734351  151.971572        56.34     89.56     75.50     82.09 
   145       76.15     3.174692  0.733494  122.038693        56.34     90.65     75.50     82.09 
   146       82.55     2.932612  0.793893  152.328699        56.34     91.89    100.00     81.96 
   147       81.89     4.062444  0.780991  167.086715        56.34     89.27    100.00     81.96 
   148       81.73     4.097904  0.734791  179.592994        56.34     88.47     99.99     82.11 
   149       81.97     3.741184  0.741270  190.299326        56.34     89.42    100.00     82.10 
   150       81.52     4.321346  0.725372  188.446083        56.34     87.82     99.99     81.95 
